Process Name,PID,DLLs
svchost.exe,4272,""
NisSrv.exe,4280,""
svchost.exe,4296,""
svchost.exe,4412,""
svchost.exe,4416,""
svchost.exe,4428,""
spoolsv.exe,4436,""
AMDRSSrcExt.exe,4504,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; win32u.dll; GDI32.dll; gdi32full.dll; msvcp_win.dll; ucrtbase.dll; ADVAPI32.dll,; msvcrt.dll; sechost.dll; bcrypt.dll; RPCRT4.dll; SHELL32.dll; Qt6Quick.dll; Qt6Gui.dll; d3d11.dll; Qt6WebEngineQuick.dll; Qt6Qml.dll; ole32.dll; Qt6Core.dll; combase.dll; MSVCP140.dll; VCRUNTIME140.dll; VCRUNTIME140_1.dll; WS2_32.dll; OLEAUT32.dll; dxgi.dll; Qt6WebEngineCore.dll; Qt6WebChannel.dll; Qt6Network.dll; COMDLG32.dll; shcore.dll; SHLWAPI.dll; DWrite.dll; MSVCP140_1.dll; SETUPAPI.dll; MSVCP140_2.dll; CRYPT32.dll; USERENV.dll; MPR.dll; NETAPI32.dll; VERSION.dll; AUTHZ.dll; WINMM.dll; DNSAPI.dll; IPHLPAPI.DLL; Secur32.dll; WINHTTP.dll; dbghelp.dll; COMCTL32.dll; CFGMGR32.dll; POWRPROF.dll; PROPSYS.dll; ncrypt.dll; urlmon.dll; dwmapi.dll; WTSAPI32.dll; BluetoothApis.dll; d3d9.dll; dxva2.dll; HID.DLL; WINUSB.DLL; USP10.dll; Qt6Positioning.dll; dhcpcsvc.DLL; iertutil.dll; netutils.dll; srvcli.dll; DEVOBJ.dll; SSPICLI.DLL; CRYPTBASE.DLL; dxcore.dll; Qt6OpenGL.dll; Qt6QmlModels.dll; IMM32.DLL; UMPDC.dll; NTASN1.dll; bcryptPrimitives.dll; NSI.dll; windows.storage.dll; wintypes.dll; profapi.dll; qwindows.dll; kernel.appcore.dll; uxtheme.dll; MSCTF.dll; directxdatabasehelper.dll; opengl32.dll; GLU32.dll; clbcatq.dll; AppXDeploymentClient.dll; atig6pxx.dll; atio6axx.dll; amdihk64.dll; WINTRUST.dll; MSASN1.dll; aticfx64.dll; atiuxp64.dll; atidxx64.dll; apphelp.dll; D3DSCache.dll; twinapi.appcore.dll; workerscriptplugin.dll; Qt6QmlWorkerScript.dll; quickwindowplugin.dll; qquicklayoutsplugin.dll; Qt6QuickLayouts.dll; qtwebenginequickplugin.dll; quickmultimediaplugin.dll; Qt6MultimediaQuick.dll; Qt6Multimedia.dll; qtgraphicaleffectsplugin.dll; qgif.dll; qicns.dll; qico.dll; qjpeg.dll; qpdf.dll; Qt6Pdf.dll; qsvg.dll; Qt6Svg.dll; qtga.dll; qwbmp.dll; qwebp.dll; qtquickcontrols2plugin.dll; Qt6QuickControls2.dll; Qt6QuickTemplates2.dll; qtquickcontrols2windowsstyleplugin.dll; qtquickcontrols2fusionstyleplugin.dll; qtquickcontrols2basicstyleplugin.dll; qtquickcontrols2implplugin.dll; Qt6QuickControls2Impl.dll; qtquicktemplates2plugin.dll"
RuntimeBroker.exe,4548,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; ucrtbase.dll; msvcp_win.dll; combase.dll; RPCRT4.dll; kernel.appcore.dll; msvcrt.dll,; bcryptPrimitives.dll; powrprof.dll; UMPDC.dll; user32.dll; win32u.dll; GDI32.dll; gdi32full.dll; IMM32.DLL; sechost.dll; bcrypt.dll; clbcatq.dll; Windows.ApplicationModel.dll; wintypes.dll; OneCoreCommonProxyStub.dll; shcore.dll; mrmcorer.dll; iertutil.dll; advapi32.dll; netutils.dll; srvcli.dll; OLEAUT32.dll; windows.staterepositorycore.dll; windows.staterepositoryclient.dll; profapi.dll; bcp47mrm.dll; uxtheme.dll"
svchost.exe,4604,""
Hydra.exe,4680,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; OLEAUT32.dll; dbghelp.dll; msvcp_win.dll; ucrtbase.dll; ffmpeg.dll; combase.dll; RPCRT4.dll,; WS2_32.dll; CRYPT32.dll; WINMM.dll; WINTRUST.dll; msvcrt.dll; IPHLPAPI.DLL; USERENV.dll; VERSION.dll; DWrite.dll; shcore.dll; Secur32.dll; dhcpcsvc.DLL; WINHTTP.dll; sechost.dll; bcrypt.dll; dbgcore.DLL; SSPICLI.DLL; MSASN1.dll; bcryptPrimitives.dll; powrprof.dll; UMPDC.dll; USER32.dll; win32u.dll; GDI32.dll; gdi32full.dll; IMM32.DLL; uxtheme.dll; mswsock.dll; SHELL32.dll; ADVAPI32.dll; ntmarta.dll; kernel.appcore.dll; MSCTF.dll; ole32.dll; windows.storage.dll; wintypes.dll; shlwapi.dll; napinsp.dll; pnrpnsp.dll; DNSAPI.dll; NSI.dll; winrnr.dll; wshbth.dll; nlansp_c.dll; COMCTL32.dll; DPAPI.dll; CRYPTBASE.dll; dhcpcsvc6.DLL; clbcatq.dll; textinputframework.dll; Windows.UI.dll; profapi.dll; WTSAPI32.dll; WINSTA.dll; mscms.dll; MMDevApi.dll; DEVOBJ.dll; cfgmgr32.dll; MsSpellCheckingFacility.dll; Bcp47Langs.dll; OneCoreUAPCommonProxyStub.dll; CRYPTSP.dll; rsaenh.dll; gpapi.dll; IconCodecService.dll; InputHost.dll; CoreMessaging.dll; WindowsCodecs.dll; dwmapi.dll; dataexchange.dll; twinapi.appcore.dll; Windows.Globalization.dll; twinapi.dll; atlthunk.dll; OLEACC.dll; directmanipulation.dll; rasadhlp.dll; fwpuclnt.dll; CoreUIComponents.dll; explorerframe.dll; wpnapps.dll; msxml6.dll"
svchost.exe,4696,""
svchost.exe,4744,""
svchost.exe,4844,""
svchost.exe,4852,""
AdminService.exe,4860,""
svchost.exe,4868,""
svchost.exe,4884,""
svchost.exe,4892,""
FMService64.exe,4900,""
svchost.exe,4908,""
ETDCtrl.exe,5032,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; win32u.dll; GDI32.dll; gdi32full.dll; msvcp_win.dll; ucrtbase.dll; ADVAPI32.dll,; msvcrt.dll; sechost.dll; bcrypt.dll; RPCRT4.dll; SHELL32.dll; SHLWAPI.dll; ole32.dll; combase.dll; OLEAUT32.dll; SETUPAPI.dll; WTSAPI32.dll; COMCTL32.dll; IMM32.DLL; uxtheme.dll; riched20.dll; USP10.dll; msls31.dll; MSCTF.dll; WINSTA.dll; ETDFavorite.dll; kernel.appcore.dll; bcryptPrimitives.dll; textinputframework.dll; ETDApix.dll; VERSION.dll; ETDCmds.dll; DEVOBJ.dll; cfgmgr32.dll; ntmarta.dll; SHCORE.dll; windows.storage.dll; wintypes.dll; PROPSYS.dll; clbcatq.dll; profapi.dll; Windows.StateRepositoryPS.dll; edputil.dll; urlmon.dll; iertutil.dll; netutils.dll; srvcli.dll; SspiCli.dll; virtdisk.dll; Wldp.dll; appresolver.dll; USERENV.dll; Bcp47Langs.dll"
MsMpEng.exe,5080,""
MpDefenderCoreService.exe,5088,""
FlashPlayerFeedbackServic,5096,""
QcomWlanSrvx64.exe,5104,""
vgc.exe,5116,""
PowerToys.KeyboardManager,5192,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; win32u.dll; dbghelp.dll; GDI32.dll; ucrtbase.dll; gdi32full.dll; msvcp_win.dll,; combase.dll; RPCRT4.dll; ADVAPI32.dll; OLEAUT32.dll; msvcrt.dll; sechost.dll; bcrypt.dll; ole32.dll; SHLWAPI.dll; SHELL32.dll; IMM32.DLL; kernel.appcore.dll; bcryptPrimitives.dll; windows.storage.dll; wintypes.dll; SHCORE.dll; clbcatq.dll; Windows.Web.dll"
